Temporada;Jugador_CodigoFBRef;Jugador;Equipo_CodigoFBRef;Pais_Codigo;Delantero;Fecha;Dia;Ronda;Sedes;Resultado;Equipo;Adversario;Arranque_Partido_Capitan;Posicion_Jugador;Monitos_Jugados;Rendimiento_GolesMarcados;Rendimiento_Asistencias;Rendimiento_TirosPenalesEjecutados;Rendimiento_TirosPenalesIntentados;Rendimiento_TotalDisparos;Rendimiento_LanzamientoEnObjetivo;Rendimiento_TarjetasAmarillas;Rendimiento_TarjetasRojas;Rendimiento_Toques;Rendimiento_Derribos;Rendimiento_Intercepciones;Rendimiento_Bloqueos;Expectativa_GolesEsperados;Expectativa_GolesEsperadosSinPenaltis;Expectativa_GolesEsperadosConAsistencia;AccionesParaCreacionDeTiros;AccionesParaCreacionDeGoles;PasesCompletados;PasesIntentados;PorcentajeCumplimientoDePases;PasesProgresivos;TransporteVecesControlaBalon;TransporteAcarreosProgresivos;TomasIntentadasEnfrentadoDefensor;TomasExitosasEnfrentando
2021-2022;a7a9d95a;Paco Alcácer;2a8183b3;ESP;SI;2022-04-19;Mar;Semana 33 de partido;Local;V 2–0;Villarreal;Valencia;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;036bba5f;Rubén Alcaraz;ee7c297c;ESP;NO;2022-03-11;Vie;Semana 28 de partido;Visitante;D 1–2;Cádiz;Atlético Madrid;Sí;CM,LB;90;0;0;0;0;2;0;0;0;91;3;1;1;0.0;0.0;0.1;3;0;67;80;83.8;15;58;6;3;1
2021-2022;036bba5f;Rubén Alcaraz;ee7c297c;ESP;NO;2022-03-20;Dom;Semana 29 de partido;Local;V 1–0;Cádiz;Villarreal;Sí;CM;90;0;0;0;0;4;0;0;0;71;2;0;0;0.2;0.2;0.1;5;0;50;59;84.7;6;37;2;2;1
2021-2022;036bba5f;Rubén Alcaraz;ee7c297c;ESP;NO;2022-04-03;Dom;Semana 30 de partido;Visitante;E 0–0;Cádiz;Valencia;Sí;CM;90;0;0;0;0;0;0;1;0;60;3;1;0;0.0;0.0;0.0;2;0;41;49;83.7;5;21;0;1;0
2021-2022;036bba5f;Rubén Alcaraz;ee7c297c;ESP;NO;2022-04-09;Sáb;Semana 31 de partido;Local;D 1–2;Cádiz;Betis;Sí;CM;90;0;0;0;0;3;2;1;0;42;3;0;0;0.2;0.2;0.0;1;0;25;34;73.5;3;18;1;0;0
2021-2022;036bba5f;Rubén Alcaraz;ee7c297c;ESP;NO;2022-04-21;Jue;Semana 33 de partido;Local;D 2–3;Cádiz;Athletic Club;Sí;CM;73;0;0;0;0;2;0;0;0;41;2;1;1;0.2;0.2;0.0;4;0;25;33;75.8;3;22;1;0;0
2021-2022;036bba5f;Rubén Alcaraz;ee7c297c;ESP;NO;2022-05-12;Jue;Semana 36 de partido;Visitante;D 0–3;Cádiz;Real Sociedad;No;CM;31;0;0;0;0;0;0;1;0;21;1;1;1;0.0;0.0;0.0;2;0;13;16;81.3;3;11;1;0;0
2021-2022;036bba5f;Rubén Alcaraz;ee7c297c;ESP;NO;2022-05-15;Dom;Semana 37 de partido;Local;E 1–1;Cádiz;Real Madrid;Sí;CM;90;0;0;0;0;3;1;1;0;67;3;4;2;0.1;0.1;0.1;6;1;46;53;86.8;8;48;3;4;3
2021-2022;036bba5f;Rubén Alcaraz;ee7c297c;ESP;NO;2022-05-22;Dom;Semana 38 de partido;Visitante;V 1–0;Cádiz;Alavés;Sí;CM;71;0;0;0;0;0;0;0;0;51;6;1;1;0.0;0.0;0.1;1;0;36;41;87.8;3;34;2;1;1
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-08-13;Vie;Semana 1 de partido;Local;V 1–0;Valencia;Getafe;Sí;CB;90;0;0;0;0;0;0;1;0;20;0;0;2;0.0;0.0;0.0;0;0;6;11;54.5;1;8;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-08-21;Sáb;Semana 2 de partido;Visitante;E 1–1;Valencia;Granada;Sí;CB;90;0;0;0;0;1;0;1;0;47;3;0;0;0.0;0.0;0.1;3;0;27;38;71.1;7;23;1;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-08-27;Vie;Semana 3 de partido;Local;V 3–0;Valencia;Alavés;Sí;CB;84;0;0;0;0;1;0;0;0;49;0;1;2;0.0;0.0;0.0;1;1;24;33;72.7;2;23;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-09-12;Dom;Semana 4 de partido;Visitante;V 4–1;Valencia;Osasuna;Sí;CB;82;1;0;0;0;1;1;1;0;47;1;0;2;0.1;0.1;0.0;1;0;17;36;47.2;2;18;0;1;1
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-09-19;Dom;Semana 5 de partido;Local;D 1–2;Valencia;Real Madrid;Sí;CB;90;0;0;0;0;0;0;0;0;46;4;2;1;0.0;0.0;0.0;0;0;17;30;56.7;3;25;1;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-09-22;Mié;Semana 6 de partido;Visitante;D 1–3;Valencia;Sevilla;Sí;CB;45;0;0;0;0;0;0;1;0;20;2;2;0;0.0;0.0;0.0;0;0;11;14;78.6;1;12;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-09-25;Sáb;Semana 7 de partido;Local;E 1–1;Valencia;Athletic Club;Sí;CB;90;0;0;0;0;2;1;0;0;46;1;2;0;0.1;0.1;0.0;1;0;19;36;52.8;7;25;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-10-02;Sáb;Semana 8 de partido;Visitante;E 0–0;Valencia;Cádiz;Sí;CB;59;0;0;0;0;1;0;1;0;38;0;0;1;0.0;0.0;0.0;0;0;28;36;77.8;2;28;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-10-23;Sáb;Semana 10 de partido;Local;E 2–2;Valencia;Mallorca;No;CB;45;0;0;0;0;0;0;0;0;35;0;0;0;0.0;0.0;0.0;1;0;27;35;77.1;8;21;3;1;1
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-10-27;Mié;Semana 11 de partido;Visitante;D 1–4;Valencia;Betis;Sí;CB;90;0;0;0;0;0;0;1;0;37;1;1;1;0.0;0.0;0.0;0;0;11;24;45.8;1;10;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-10-30;Sáb;Semana 12 de partido;Local;V 2–0;Valencia;Villarreal;Sí;CB;90;0;0;0;0;1;0;1;0;26;0;1;1;0.0;0.0;0.0;0;0;5;14;35.7;1;8;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-11-07;Dom;Semana 13 de partido;Local;E 3–3;Valencia;Atlético Madrid;Sí;CB;84;0;0;0;0;0;0;0;0;58;3;2;0;0.0;0.0;0.0;0;0;33;43;76.7;3;22;1;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-11-21;Dom;Semana 14 de partido;Visitante;E 0–0;Valencia;Real Sociedad;Sí;CB;90;0;0;0;0;1;0;1;0;45;0;2;2;0.1;0.1;0.0;0;0;21;35;60.0;0;26;1;1;1
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-11-27;Sáb;Semana 15 de partido;Local;E 1–1;Valencia;Rayo Vallecano;Sí;CB;90;0;0;0;0;2;1;1;0;47;1;3;1;0.0;0.0;0.0;0;0;18;31;58.1;5;15;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-12-05;Dom;Semana 16 de partido;Visitante;V 2–1;Valencia;Celta Vigo;Sí;CB;90;0;0;0;0;0;0;0;0;50;2;2;0;0.0;0.0;0.0;0;0;10;33;30.3;1;9;0;1;1
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2021-12-31;Vie;Semana 19 de partido;Local;D 1–2;Valencia;Espanyol;Sí;CB;90;1;0;0;0;1;1;0;0;42;1;0;2;0.2;0.2;0.0;0;0;20;34;58.8;3;24;1;2;2
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-01-19;Mié;Semana 21 de partido;Local;E 1–1;Valencia;Sevilla;Sí;CB;90;0;0;0;0;0;0;0;0;44;2;0;1;0.0;0.0;0.0;0;0;25;38;65.8;8;21;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-02-20;Dom;Semana 25 de partido;Local;D 1–4;Valencia;Barcelona;Sí;CB;84;0;0;0;0;1;0;0;0;39;4;1;2;0.0;0.0;0.0;2;1;15;29;51.7;6;16;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-02-26;Sáb;Semana 26 de partido;Visitante;V 1–0;Valencia;Mallorca;Sí;CB;90;0;0;0;0;0;0;1;0;45;7;0;3;0.0;0.0;0.0;1;0;12;24;50.0;0;5;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-01-08;Sáb;Semana 20 de partido;Visitante;D 1–4;Valencia;Real Madrid;Sí;CB;90;0;0;0;0;0;0;0;0;44;2;0;1;0.0;0.0;0.0;2;0;27;37;73.0;5;27;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-01-22;Sáb;Semana 22 de partido;Visitante;D 2–3;Valencia;Atlético Madrid;Sí;CB;53;0;0;0;0;1;0;0;0;23;2;1;1;0.0;0.0;0.0;0;0;9;14;64.3;1;12;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-02-13;Dom;Semana 24 de partido;Visitante;D 1–2;Valencia;Alavés;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-03-12;Sáb;Semana 28 de partido;Visitante;E 0–0;Valencia;Getafe;Sí;CB;90;0;0;0;0;0;0;1;0;65;0;1;0;0.0;0.0;0.0;0;0;36;55;65.5;0;34;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-03-19;Sáb;Semana 29 de partido;Visitante;V 1–0;Valencia;Elche;Sí;CB;90;0;0;0;0;1;1;0;0;57;4;0;1;0.0;0.0;0.0;1;0;24;42;57.1;4;25;1;2;1
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-04-03;Dom;Semana 30 de partido;Local;E 0–0;Valencia;Cádiz;Sí;CB;67;0;0;0;0;1;0;1;0;42;3;1;1;0.0;0.0;0.0;0;0;19;28;67.9;3;15;3;1;1
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-04-11;Lun;Semana 31 de partido;Visitante;E 1–1;Valencia;Rayo Vallecano;Sí;CB;90;0;0;0;0;2;0;0;0;56;2;1;1;0.1;0.1;0.0;0;0;23;42;54.8;3;25;0;0;0
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2021-12-19;Dom;Semana 18 de partido;Visitante;E 0–0;Cádiz;Real Madrid;Sí;RW;70;0;0;0;0;1;0;0;0;17;2;0;0;0.0;0.0;0.0;0;0;2;8;25.0;1;9;3;3;2
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2022-01-03;Lun;Semana 19 de partido;Local;D 0–1;Cádiz;Sevilla;No;RW;29;0;0;0;0;0;0;0;0;16;0;0;0;0.0;0.0;0.0;0;0;7;11;63.6;1;11;2;1;0
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2022-01-09;Dom;Semana 20 de partido;Visitante;D 0–2;Cádiz;Osasuna;No;LM,RM;45;0;0;0;0;0;0;0;0;20;1;0;0;0.0;0.0;0.1;1;0;8;12;66.7;0;14;2;1;1
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2022-01-18;Mar;Semana 21 de partido;Local;E 2–2;Cádiz;Espanyol;No;RM;18;1;0;0;0;1;1;1;0;12;0;0;0;0.3;0.3;0.1;1;0;6;10;60.0;1;8;3;0;0
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2022-01-22;Sáb;Semana 22 de partido;Visitante;V 2–0;Cádiz;Levante;Sí;RM;78;0;1;0;0;1;0;1;0;25;5;0;0;0.1;0.1;0.5;3;2;6;12;50.0;1;13;3;1;1
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2022-02-05;Sáb;Semana 23 de partido;Visitante;D 1–2;Cádiz;Mallorca;Sí;RM;61;0;1;0;0;0;0;0;0;26;0;0;0;0.0;0.0;0.0;1;1;10;15;66.7;0;15;1;0;0
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2022-02-12;Sáb;Semana 24 de partido;Local;E 0–0;Cádiz;Celta Vigo;No;RM;27;0;0;0;0;0;0;0;0;11;0;0;0;0.0;0.0;0.0;0;0;5;7;71.4;0;10;1;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-04-16;Sáb;Semana 32 de partido;Local;D 1–2;Valencia;Osasuna;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-04-19;Mar;Semana 33 de partido;Visitante;D 0–2;Valencia;Villarreal;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-04-30;Sáb;Semana 34 de partido;Local;E 1–1;Valencia;Levante;Sí;CB;90;0;0;0;0;1;0;1;0;48;3;3;2;0.0;0.0;0.0;0;0;15;29;51.7;2;11;0;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-05-07;Sáb;Semana 35 de partido;Visitante;E 0–0;Valencia;Athletic Club;Sí;CB;90;0;0;0;0;0;0;0;0;58;1;1;1;0.0;0.0;0.0;0;0;22;44;50.0;2;26;1;4;4
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-05-10;Mar;Semana 36 de partido;Local;D 0–3;Valencia;Betis;Sí;CB;90;0;0;0;0;0;0;1;0;48;2;4;1;0.0;0.0;0.0;2;0;20;38;52.6;5;28;2;0;0
2021-2022;bb08bce9;Omar Alderete;dcc91a7b;PAR;NO;2022-05-14;Sáb;Semana 37 de partido;Visitante;E 1–1;Valencia;Espanyol;Sí;CB;90;0;0;0;0;0;0;1;0;70;2;4;0;0.0;0.0;0.0;2;0;39;58;67.2;3;45;2;1;1
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2021-10-02;Sáb;Semana 8 de partido;Local;E 0–0;Cádiz;Valencia;No;LM,RM;31;0;0;0;0;0;0;1;0;18;3;0;0;0.0;0.0;0.0;0;0;5;8;62.5;0;14;1;0;0
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2021-10-26;Mar;Semana 11 de partido;Visitante;E 3–3;Cádiz;Villarreal;No;LM,RM;38;0;0;0;0;0;0;1;0;14;2;0;0;0.0;0.0;0.0;0;0;3;7;42.9;1;7;1;3;1
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2021-12-13;Lun;Semana 17 de partido;Local;E 1–1;Cádiz;Granada;Sí;RM;76;0;0;0;0;2;0;0;0;29;4;1;2;0.0;0.0;0.0;4;0;7;16;43.8;3;14;1;2;1
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2021-10-23;Sáb;Semana 10 de partido;Local;D 0–2;Cádiz;Alavés;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2021-10-31;Dom;Semana 12 de partido;Local;E 1–1;Cádiz;Mallorca;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-09-18;Sáb;Semana 5 de partido;Visitante;D 0–3;Getafe;Rayo Vallecano;Sí;FW,RM;71;0;0;0;0;3;0;1;0;31;0;0;0;0.1;0.1;0.0;5;0;16;25;64.0;5;19;1;3;1
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-09-21;Mar;Semana 6 de partido;Local;D 1–2;Getafe;Atlético Madrid;Sí;CM;73;0;0;0;0;0;0;1;1;23;0;0;0;0.0;0.0;0.1;2;0;9;18;50.0;2;9;1;2;1
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-10-03;Dom;Semana 8 de partido;Local;E 1–1;Getafe;Real Sociedad;Sí;RW;83;0;1;0;0;0;0;1;0;36;3;2;0;0.0;0.0;0.5;3;1;11;25;44.0;1;24;2;0;0
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-10-16;Sáb;Semana 9 de partido;Visitante;E 0–0;Getafe;Levante;Sí;LM;83;0;0;0;0;4;0;0;0;48;2;1;1;0.1;0.1;0.1;4;0;32;39;82.1;2;30;0;2;1
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-10-25;Lun;Semana 10 de partido;Local;D 0–3;Getafe;Celta Vigo;Sí;LM;66;0;0;0;0;1;0;0;0;35;0;0;2;0.0;0.0;0.1;3;0;17;25;68.0;3;21;0;0;0
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-10-28;Jue;Semana 11 de partido;Visitante;E 1–1;Getafe;Granada;Sí;LM;67;0;0;0;0;0;0;0;0;16;2;0;1;0.0;0.0;0.0;0;0;7;11;63.6;0;8;1;2;2
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-10-31;Dom;Semana 12 de partido;Local;V 2–1;Getafe;Espanyol;Sí;LM;80;0;0;0;0;1;1;0;0;38;2;3;1;0.0;0.0;0.0;3;0;23;29;79.3;5;15;3;2;1
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2021-11-05;Vie;Semana 13 de partido;Visitante;V 1–0;Cádiz;Athletic Club;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;3d7e48ce;Iván Alejo;ee7c297c;ESP;SI;2021-11-21;Dom;Semana 14 de partido;Visitante;D 0–4;Cádiz;Getafe;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-11-07;Dom;Semana 13 de partido;Visitante;D 0–1;Getafe;Villarreal;Sí;CM;90;0;0;0;0;0;0;0;0;41;1;0;0;0.0;0.0;0.1;4;0;28;36;77.8;4;29;0;2;1
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-11-21;Dom;Semana 14 de partido;Local;V 4–0;Getafe;Cádiz;Sí;CM;81;0;0;0;0;2;0;0;0;40;0;0;0;0.1;0.1;0.0;1;0;30;31;96.8;2;22;1;0;0
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-11-27;Sáb;Semana 15 de partido;Visitante;E 0–0;Getafe;Mallorca;Sí;CM;87;0;0;0;0;2;0;0;0;44;0;1;3;0.1;0.1;0.0;2;0;31;36;86.1;5;34;2;0;0
2021-2022;6c811eb7;Carles Aleñá;7848bd64;ESP;NO;2021-12-06;Lun;Semana 16 de partido;Local;E 0–0;Getafe;Athletic Club;Sí;CM;90;0;0;0;0;3;2;0;0;46;2;0;1;0.1;0.1;0.0;2;0;29;37;78.4;4;28;2;1;1
